loan_id,balance_date,outstanding_principal,overdue_amount,dpd
L009,2025-01-22,20986.00,1008.00,84
L009,2025-01-23,20979.00,1020.00,85
L009,2025-01-24,20972.00,1032.00,86
L009,2025-01-25,20965.00,1044.00,87
L009,2025-01-26,20958.00,1056.00,88
L009,2025-01-27,20951.00,1068.00,89
L009,2025-01-28,20944.00,1080.00,90
L009,2025-01-29,20937.00,1092.00,91
L009,2025-01-30,20930.00,1104.00,92
L009,2025-01-31,20923.00,1116.00,93
L009,2025-02-01,20916.00,1128.00,94
L009,2025-02-02,20909.00,1140.00,95
L009,2025-02-03,20902.00,1152.00,96
L009,2025-02-04,20895.00,1164.00,97
L009,2025-02-05,20888.00,1176.00,98
L009,2025-02-06,20881.00,1188.00,99
L009,2025-02-07,20874.00,1200.00,100
L009,2025-02-08,20867.00,1212.00,101
L009,2025-02-09,20860.00,1224.00,102
L009,2025-02-10,20853.00,1236.00,103
L010,2025-01-31,22160.00,1200.00,100
L010,2025-02-01,22153.00,1212.00,101
L010,2025-02-02,22146.00,1224.00,102
L010,2025-02-03,22139.00,1236.00,103
L010,2025-02-04,22132.00,1248.00,104
L010,2025-02-05,22125.00,1260.00,105
L010,2025-02-06,22118.00,1272.00,106
L010,2025-02-07,22111.00,1284.00,107
L010,2025-02-08,22104.00,1296.00,108
L010,2025-02-09,22097.00,1308.00,109
L010,2025-02-10,22090.00,1320.00,110
L010,2025-02-11,22083.00,1332.00,111
L010,2025-02-12,22076.00,1344.00,112
L010,2025-02-13,22069.00,1356.00,113
L010,2025-02-14,22062.00,1368.00,114
L010,2025-02-15,22055.00,1380.00,115
L010,2025-02-16,22048.00,1392.00,116
L010,2025-02-17,22041.00,1404.00,117
L010,2025-02-18,22034.00,1416.00,118
L010,2025-02-19,22027.00,1428.00,119
L010,2025-02-20,22020.00,1440.00,120
L010,2025-02-21,22013.00,0.00,0
L010,2025-02-22,22006.00,12.00,1
L010,2025-02-23,21999.00,24.00,2
L010,2025-02-24,21992.00,36.00,3
L010,2025-02-25,21985.00,48.00,4
L010,2025-02-26,21978.00,60.00,5
L010,2025-02-27,21971.00,72.00,6
L010,2025-02-28,21964.00,84.00,7
L011,2025-01-01,23607.00,924.00,77
L011,2025-01-02,23600.00,936.00,78
L011,2025-01-03,23593.00,948.00,79
L011,2025-01-04,23586.00,960.00,80
L011,2025-01-05,23579.00,972.00,81
L011,2025-01-06,23572.00,984.00,82
L011,2025-01-07,23565.00,996.00,83
L011,2025-01-08,23558.00,1008.00,84
L011,2025-01-09,23551.00,1020.00,85
L011,2025-01-10,23544.00,1032.00,86
L011,2025-01-11,23537.00,1044.00,87
L011,2025-01-12,23530.00,1056.00,88
L011,2025-01-13,23523.00,1068.00,89
L011,2025-01-14,23516.00,1080.00,90
L011,2025-01-15,23509.00,1092.00,91
L011,2025-01-16,23502.00,1104.00,92
L011,2025-01-17,23495.00,1116.00,93
L011,2025-01-18,23488.00,1128.00,94
L011,2025-01-19,23481.00,1140.00,95
L011,2025-01-20,23474.00,1152.00,96
L011,2025-01-21,23467.00,1164.00,97
L011,2025-01-22,23460.00,1176.00,98
L011,2025-01-23,23453.00,1188.00,99
L011,2025-01-24,23446.00,1200.00,100
L011,2025-01-25,23439.00,1212.00,101
L011,2025-01-26,23432.00,1224.00,102
L011,2025-01-27,23425.00,1236.00,103
L011,2025-01-28,23418.00,1248.00,104
L011,2025-01-29,23411.00,1260.00,105
L011,2025-01-30,23404.00,1272.00,106
L011,2025-01-31,23397.00,1284.00,107
L011,2025-02-01,23390.00,1296.00,108
L011,2025-02-02,23383.00,1308.00,109
L011,2025-02-03,23376.00,1320.00,110
L011,2025-02-04,23369.00,1332.00,111
L011,2025-02-05,23362.00,1344.00,112
L011,2025-02-06,23355.00,1356.00,113
L011,2025-02-07,23348.00,1368.00,114
L011,2025-02-08,23341.00,1380.00,115
L011,2025-02-09,23334.00,1392.00,116
L011,2025-02-10,23327.00,1404.00,117
L011,2025-02-11,23320.00,1416.00,118
L011,2025-02-12,23313.00,1428.00,119
L011,2025-02-13,23306.00,1440.00,120
L011,2025-02-14,23299.00,0.00,0
L011,2025-02-15,23292.00,12.00,1
L011,2025-02-16,23285.00,24.00,2
L011,2025-02-17,23278.00,36.00,3
L011,2025-02-18,23271.00,48.00,4
L011,2025-02-19,23264.00,60.00,5
L011,2025-02-20,23257.00,72.00,6
L011,2025-02-21,23250.00,84.00,7
L011,2025-02-22,23243.00,96.00,8
L011,2025-02-23,23236.00,108.00,9
L011,2025-02-24,23229.00,120.00,10
L011,2025-02-25,23222.00,132.00,11
L011,2025-02-26,23215.00,144.00,12
L011,2025-02-27,23208.00,156.00,13
L011,2025-02-28,23201.00,168.00,14
L012,2025-02-28,24438.00,252.00,21
